2025-12-17,Dona Torta,29.00
2025-12-16,Uber Ride,15.50
2025-12-16,Supermercado Extra,245.80
2025-12-15,iFood Pizza,42.90
2025-12-15,Shell Combustível,180.00
2025-12-14,Padaria Flor de Trigo,18.50
2025-12-14,99 Taxi,22.00
2025-12-13,Carrefour,312.45
2025-12-13,McDonald's,35.90
2025-12-12,Estacionamento Shopping,12.00
2025-12-12,Assinatura Netflix,-39.90
2025-12-11,Atacadão,456.30
2025-12-11,Outback,128.00
2025-12-10,Uber Eats,38.50
2025-12-10,BK Burger King,27.90
2025-12-09,Posto Ipiranga,200.00
2025-12-09,Mercado Livre Compra,89.90
2025-12-08,Sushi San,76.00
2025-12-08,Rappi Mercado,67.30
2025-12-07,Cabify,19.80
